zip,city,area_code,county,state,metro
60459,Burbank,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60109,Burlington,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60633,Burnham,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60527,Burr Ridge,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60527,Burridge,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60409,Calumet City,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60643,Calumet Park,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60827,Calumet Park,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60119,Campton Hills,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60124,Campton Hills,847,Kane County,Illinois - IL,"Chicago, IL (1600)"
60140,Campton Hills,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60174,Campton Hills,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60175,Campton Hills,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60416,Carbon Hill,815/779,Grundy County,Illinois - IL,"Chicago, IL (1600)"
60116,Carol Stream,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60122,Carol Stream,847/224,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60128,Carol Stream,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60132,Carol Stream,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60188,Carol Stream,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60197,Carol Stream,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60199,Carol Stream,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60110,Carpentersville,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60110,Carpentersvle,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60013,Cary,847/224,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60410,Channahon,815/779,Will County,Illinois - IL,"Chicago, IL (1600)"
60649,Charles A Hayes,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60122,Chase Bank,847/224,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60670,Chase Bank,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60673,Chase Bank,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60033,Chemung,815/779,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60046,Chesney Shores,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60610,Chestnut Street,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60712,Chgo,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60712,CHI,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60290,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60601,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60602,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60603,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60604,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60605,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60606,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60607,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60608,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60609,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60610,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60611,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60612,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60613,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60614,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
